sample_names,LONDD,LATDD,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,goldblatt
ALC,26.09839,-33.24081,-0.814730014517879,-1.7934555299428,-0.2691930545819,-0.0670144013234821,0.494571916592937,0.795949786514936,0.309900999536648,SE
ANY,20.70409,-33.49369,1.41528005674193,-0.056778248441145,-1.47537106723823,0.40654807392045,0.0939003331264526,-0.388407630079068,-0.101515523143565,KM
BAN,18.64454,-32.72662,-2.36468700658822,1.40493786962897,-1.0584095843494,-0.29790811104818,0.24751464522759,-0.0612464949802097,-0.0897544250030285,NW
BAV,23.63356,-33.49336,1.07478705941165,-1.65092128266022,-1.21924514264959,-0.653357845984975,0.0866069833331013,0.10547537256369,-0.0533462182944484,SE
BRD,20.0386,-34.54593,-1.86181628272233,-0.241319763047763,-0.554485048383905,0.674588757787122,-0.188998767288027,-0.0875229536771028,-0.00241486910698497,SW
CDB,19.10676,-32.4064,2.89807580130899,1.40227876223714,0.804456801044923,0.641325186551238,0.297808492984925,-0.170015168845022,0.090252579145925,NW
CER,19.276,-33.36542,0.152796305981654,0.320141822607745,1.0544455925588,-1.32609561898337,-0.592451264953706,-0.591492912616613,-0.0745009469992318,NW
GAR,21.21982,-33.96789,-1.78346320467879,-2.30895341028282,-0.444842642534847,-0.64556861650788,0.416105743608935,0.164534337714629,-0.226499491353458,LB
KAR,24.07328,-33.87468,-1.96551755127354,-2.08679943853725,0.267324154337974,0.112758440472815,0.122567000659379,0.623418575621857,0.057021093428574,SE
KLM,19.03363,-34.33109,-1.48317995497397,0.263782513909208,1.00303591063285,1.44693037756464,-0.220860151333981,-0.323071096743671,-0.0811482400798495,SW
KSW,21.28479,-33.45617,-0.701677878281634,-0.978112121859813,-1.48951978374173,-0.102792037778973,0.728658206600475,-0.380079739704477,-0.206919370276727,KM
LOE,25.0423,-33.85452,-2.65301781751399,-2.37564057513458,-0.0222715420601345,0.0665775612674767,-0.215357514626787,0.393381191835706,0.206979929370872,SE
MGU,20.10137,-33.7839,-0.550153890961983,0.436614498217495,-1.65036162608407,-0.346542835260263,-0.545175569600269,-0.266814417199056,0.0469673666925811,NW
POT,20.60545,-34.41555,-1.96506373046124,-0.372427592051033,-1.21340364419671,0.296283585007777,-0.0189918742989331,-0.312449290948227,-0.0343005248494259,AP
RIV,18.55111,-33.51604,-2.04205091841043,1.22779548459111,-0.664291960698937,-0.574092082316983,-0.427380649424457,-0.0908028175886273,0.0347511352706246,SW
RND,19.99314,-34.10228,-1.58829467573683,0.0685791986672911,-1.06960812469654,0.178720003639876,-0.360278976834229,-0.325355756536892,-0.0596739032959518,SW
SWA,22.04591,-33.34953,1.25242173248587,-1.91962359169109,1.12276367856607,-1.16928256795496,-0.298852692744899,0.210498351177048,0.154274960057563,KM
UNI,23.05253,-33.72581,0.75213091913287,-1.20425417621224,-0.0274167286824682,0.591893653051935,0.317124120456322,-0.129118762706717,-0.0501162881755346,SE
VAN,19.0225,-31.37083,-1.38486154843459,1.40921240788589,-1.56449476712871,-1.32047109839265,0.65487157728171,0.065729758804009,0.20117556730069,NW
