sample_names,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7
ALC,-0.816557287306751,-1.55678817658493,-0.174943252898755,-0.144748443560952,0.422211279901829,0.970977678699113,0.338819803363968
ANY,1.41354029712267,0.160984591967577,-1.38757956914875,0.335572123518574,0.0273881013134387,-0.228213827059834,-0.0750729824543506
BAN,-2.36762985369724,1.74215747452115,-0.920925619383612,-0.408209466347988,0.144278669563211,0.18771673785508,-0.0486550472312764
BAV,1.07251679928157,-1.35708397284004,-1.10201116677241,-0.74948106221192,-0.00317690345886971,0.322171942852479,-0.0175722475989521
BRD,-1.86297330587217,-0.0968728562719886,-0.496266751687596,0.627303967950742,-0.233251046583378,0.0192549821606398,0.0152029567608908
CDB,2.89481905703573,1.77049646342131,0.955188030508139,0.52028324521886,0.184501570140916,0.103147641653924,0.135344109049479
CER,0.148995354831107,0.760177620676329,1.23333013723793,-1.470852557397,-0.72799878379912,-0.264714640660054,-0.020599017948026
GAR,-1.7847429048795,-2.12830571873567,-0.373735230022106,-0.704859541717072,0.3608002724925,0.297986496492851,-0.204451899458905
KAR,-1.96367649578406,-2.28378191539447,0.18579773305642,0.177179914649984,0.183095497531794,0.477799052636611,0.0330009773744979
KLM,-1.48539980843822,0.523165898279979,1.10886721809018,1.36142044139923,-0.300962065060003,-0.129965281428608,-0.049288693840817
KSW,-0.702713998171083,-0.832643948806366,-1.43178907044299,-0.150089093979067,0.684320637885725,-0.273562993182313,-0.189310552192077
LOE,-2.65302880710155,-2.34785813583464,-0.0130387687252655,0.0572857120627838,-0.223822001765021,0.414170246902036,0.210411458190231
MGU,-0.551360737385279,0.582116030744835,-1.59160983258415,-0.393736812728295,-0.589410081709826,-0.160106979354675,0.0645578928614078
POT,-1.96597669519624,-0.251456807217776,-1.16502021298676,0.256933257001026,-0.0558941127689271,-0.223609197637816,-0.019637943708709
RIV,-2.04416095531931,1.46447043635468,-0.567630246882662,-0.651524368631281,-0.499863556640146,0.084133333071432,0.063605708475096
RND,-1.59024569486372,0.30572256227992,-0.973759065534008,0.101209825901725,-0.432880796571963,-0.150297407771309,-0.0307955543612902
SWA,1.25744367144826,-2.50194796626728,0.885405465149027,-0.978558388426354,-0.120317623404249,-0.220031407506711,0.0832072160254293
UNI,0.753056775051181,-1.29650105518174,-0.0657290330306448,0.622131382905522,0.34539380001443,-0.197494306414819,-0.061388122405436
VAN,-1.38926154125446,1.91943136958154,-1.3571562483576,-1.4873691070582,0.498765929023578,0.442225370131144,0.263341049796969
